,iterations,maxSpeed,maximumSpeedSustained,sprintCount,distanceCovered
0,0,9.057281561040956,520,10,4544.4943768626035
1,2,9.05551791369797,520,10,4544.526984357542
2,5,9.044988254849198,520,10,4544.463268776797
3,10,9.024827028331647,520,10,4544.366211805541
4,25,8.96490755879354,560,10,4544.052376096218
5,30,8.946773866745664,560,10,4543.941991437838
6,40,8.91077020222984,560,10,4543.71609335632
7,50,8.875140670499498,560,10,4543.485800886635
