,iterations,maxSpeed,maximumSpeedSustained,sprintCount,distanceCovered
0,0,8.70976342437095,900,6,2970.9601460100307
0,2,8.705650456067373,900,6,2970.077037564544
0,5,8.68396456034261,800,6,2969.33484988967
0,10,8.640442675325431,900,5,2968.3907503798264
0,25,8.510823462223524,900,4,2965.860037869507
0,30,8.46914506917293,900,4,2965.079836244189
0,40,8.390525742587831,1000,4,2963.5843523600142
0,50,8.317868649822739,1000,3,2962.227685548598
