,iterations,maxSpeed,maximumSpeedSustained,sprintCount,distanceCovered
0,0,8.001366475811572,680,3,2801.5086737160304
1,2,7.995388344343057,680,3,2801.509696149311
2,5,7.989881634307038,680,3,2801.465879019415
3,10,7.977825982116997,680,3,2801.4028827254865
4,25,7.942922954907204,720,3,2801.200587603076
5,30,7.931841243667953,720,3,2801.1287716733505
6,40,7.9104065772641725,720,3,2800.9804308147113
7,50,7.8898768931575285,760,3,2800.827293364213
